Frequency (Hz)	Level (dB)
86.132812 	 -19.278921127319335938
172.265625 	 -18.544750213623046875
258.398438 	 -19.221359252929687500
344.531250 	 -17.195190429687500000
430.664062 	 -19.751821517944335938
516.796875 	 -25.273021697998046875
602.929688 	 -20.275814056396484375
689.062500 	 -11.311325073242187500
775.195312 	 -22.411066055297851562
861.328125 	 -29.184423446655273438
947.460938 	 -28.263471603393554688
1033.593750 	 -16.646066665649414062
1119.726562 	 -25.460395812988281250
1205.859375 	 -30.126161575317382812
1291.992188 	 -30.177398681640625000
1378.125000 	 -19.835779190063476562
1464.257812 	 -24.577465057373046875
1550.390625 	 -29.146295547485351562
1636.523438 	 -26.524122238159179688
1722.656250 	 -16.633245468139648438
1808.789062 	 -21.444498062133789062
1894.921875 	 -28.217992782592773438
1981.054688 	 -29.265193939208984375
2067.187500 	 -21.604518890380859375
2153.320312 	 -23.640443801879882812
2239.453125 	 -30.459484100341796875
2325.585938 	 -29.325382232666015625
2411.718750 	 -21.320798873901367188
2497.851562 	 -21.068330764770507812
2583.984375 	 -29.717020034790039062
2670.117188 	 -30.488683700561523438
2756.250000 	 -23.830179214477539062
2842.382812 	 -22.054067611694335938
2928.515625 	 -31.588796615600585938
3014.648438 	 -34.238166809082031250
3100.781250 	 -31.393415451049804688
3186.914062 	 -28.666837692260742188
3273.046875 	 -36.368396759033203125
3359.179688 	 -38.542736053466796875
3445.312500 	 -35.619087219238281250
3531.445312 	 -29.079284667968750000
3617.578125 	 -38.254322052001953125
3703.710938 	 -40.840377807617187500
3789.843750 	 -37.972061157226562500
3875.976562 	 -31.264690399169921875
3962.109375 	 -39.058300018310546875
4048.242188 	 -41.686779022216796875
4134.375000 	 -39.985305786132812500
4220.507812 	 -29.355396270751953125
4306.640625 	 -32.055099487304687500
4392.773438 	 -39.975208282470703125
4478.906250 	 -36.942367553710937500
4565.039062 	 -23.037805557250976562
4651.171875 	 -31.600231170654296875
4737.304688 	 -37.997009277343750000
4823.437500 	 -39.113174438476562500
4909.570312 	 -25.557071685791015625
4995.703125 	 -38.352573394775390625
5081.835938 	 -40.895259857177734375
5167.968750 	 -41.404403686523437500
5254.101562 	 -30.305868148803710938
5340.234375 	 -36.781158447265625000
5426.367188 	 -36.277637481689453125
5512.500000 	 -41.756355285644531250
5598.632812 	 -28.865991592407226562
5684.765625 	 -38.860904693603515625
5770.898438 	 -36.976131439208984375
5857.031250 	 -39.821743011474609375
5943.164062 	 -26.334388732910156250
6029.296875 	 -37.378906250000000000
6115.429688 	 -40.161411285400390625
6201.562500 	 -40.622943878173828125
6287.695312 	 -31.354909896850585938
6373.828125 	 -39.325046539306640625
6459.960938 	 -39.385715484619140625
6546.093750 	 -42.936908721923828125
6632.226562 	 -34.932563781738281250
6718.359375 	 -36.815792083740234375
6804.492188 	 -38.140769958496093750
6890.625000 	 -40.408618927001953125
6976.757812 	 -36.097328186035156250
7062.890625 	 -35.945426940917968750
7149.023438 	 -39.446231842041015625
7235.156250 	 -38.091613769531250000
7321.289062 	 -30.363447189331054688
7407.421875 	 -28.647941589355468750
7493.554688 	 -37.477241516113281250
7579.687500 	 -37.789501190185546875
7665.820312 	 -35.501838684082031250
7751.953125 	 -31.795228958129882812
7838.085938 	 -40.371585845947265625
7924.218750 	 -41.694225311279296875
8010.351562 	 -37.046054840087890625
8096.484375 	 -34.319896697998046875
8182.617188 	 -43.021404266357421875
8268.750000 	 -43.778099060058593750
8354.882812 	 -39.873123168945312500
8441.015625 	 -34.903450012207031250
8527.148438 	 -44.376869201660156250
8613.281250 	 -46.095672607421875000
8699.414062 	 -44.154067993164062500
8785.546875 	 -37.412532806396484375
8871.679688 	 -46.181571960449218750
8957.812500 	 -46.703376770019531250
9043.945312 	 -45.117923736572265625
9130.078125 	 -39.243408203125000000
9216.210938 	 -48.831108093261718750
9302.343750 	 -49.623519897460937500
9388.476562 	 -48.090019226074218750
9474.609375 	 -41.880252838134765625
9560.742188 	 -48.331478118896484375
9646.875000 	 -49.969951629638671875
9733.007812 	 -49.459030151367187500
9819.140625 	 -42.809600830078125000
9905.273438 	 -49.794940948486328125
9991.406250 	 -51.343727111816406250
10077.539062 	 -49.719558715820312500
10163.671875 	 -42.779113769531250000
10249.804688 	 -51.285617828369140625
10335.937500 	 -53.169845581054687500
10422.070312 	 -50.880928039550781250
10508.203125 	 -42.853492736816406250
10594.335938 	 -50.512557983398437500
10680.468750 	 -52.776195526123046875
10766.601562 	 -51.846908569335937500
10852.734375 	 -48.932125091552734375
10938.867188 	 -53.374279022216796875
11025.000000 	 -53.965229034423828125
11111.132812 	 -53.527873992919921875
11197.265625 	 -47.774425506591796875
11283.398438 	 -51.173919677734375000
11369.531250 	 -55.373748779296875000
11455.664062 	 -53.966926574707031250
11541.796875 	 -54.401473999023437500
11627.929688 	 -55.085723876953125000
